,start_station,start_date
479,shirlington transit center / s quincy & randolph st,3/14/2014 16:25
480,silver spring metro/colesville rd & wayne ave,9/27/2013 14:58
481,sligo ave & carroll ln,11/10/2016 9:39
483,smithsonian-national mall / jefferson dr & 12th st sw,10/1/2016 11:34
484,solutions & greensboro dr,10/21/2016 16:19
485,south capitol & atlantic st sw,4/13/2016 11:34
486,spring hill metro,10/21/2016 14:58
487,spring st & second ave,11/22/2014 10:22
488,sunset hills & old reston ave,10/21/2016 9:09
489,sunset hills rd & discovery square,1/18/2017 16:21
490,sunset hills rd & isaac newton square,4/2/2017 1:36
491,taft st & e gude dr,10/27/2013 12:08
492,takoma metro,2/19/2014 14:09
493,takoma park rec center,2/17/2017 13:49
494,temporary rd & old reston ave,10/21/2016 5:46
495,tenleytown / wisconsin ave & albemarle st nw,10/15/2010 20:41
496,thomas circle,11/19/2011 9:53
498,tj cmty ctr / 2nd st & s old glebe rd,7/1/2014 6:43
499,towers crescent dr & tysons one pl,12/19/2016 19:42
500,town center pkwy & bowman towne dr,10/21/2016 9:52
501,town center pkwy & sunset hills rd,4/20/2017 1:07
502,traville gateway dr & gudelsky dr,9/29/2013 12:13
503,tysons corner station,12/20/2016 11:56
504,tysons one pl & chain bridge rd,1/6/2017 8:44
505,tysons west transit center,10/21/2016 15:43
506,union market/6th st & neal pl ne,11/20/2014 10:13
507,us dept of state / virginia ave & 21st st nw,10/9/2010 17:29
508,usda / 12th & independence ave sw,10/5/2010 18:48
509,utah st & 11th st n,7/17/2012 20:24
510,van ness metro / udc,9/24/2010 15:17
511,veterans pl & pershing dr,2/8/2014 20:04
512,virginia ave & 25th st nw,6/1/2017 1:32
514,virginia square metro / n monroe st & 9th st n,2/17/2012 9:01
515,walter reed community center / walter reed dr & 16th st s,3/28/2013 6:32
516,ward circle / american university,9/30/2010 10:47
517,washington & independence ave sw/hhs,8/2/2013 9:29
518,washington adventist u / flower ave & division st,9/5/2014 11:19
519,washington blvd & 10th st n,2/29/2012 7:51
520,washington blvd & 7th st n,5/1/2012 15:47
521,washington blvd & n frederick st,2/23/2016 22:34
522,washington blvd & walter reed dr,12/17/2013 8:47
523,washington-lee high school / n stafford st & generals way,5/5/2017 6:41
524,westover library / washington blvd & n mckinley rd,5/4/2017 5:49
525,westpark & jones branch dr,10/21/2016 15:59
526,westpark & park run dr,10/21/2016 16:08
527,westpark dr & leesburg pike,10/21/2016 16:22
528,wheaton metro/georgia ave & reedie dr,3/1/2017 12:23
529,white house [17th & state pl nw],4/5/2017 6:23
530,wilson blvd & franklin rd,12/1/2011 9:16
531,wilson blvd & n edgewood st,11/11/2011 12:57
532,wilson blvd & n illinois st,2/24/2016 6:28
534,wilson blvd & n quincy st,7/1/2016 1:32
535,wilson blvd & n troy st,6/13/2017 6:36
536,wilson blvd & n uhle st,8/1/2014 7:19
537,windham ln & amherst ave,3/5/2017 17:24
538,wisconsin ave & brandywine st nw,10/1/2016 10:02
539,wisconsin ave & ingomar st nw,3/10/2016 15:23
541,wisconsin ave & newark st nw,1/1/2015 12:04
542,wisconsin ave & o st nw,4/25/2013 16:51
543,woodmont ave & strathmore st,4/2/2016 11:03
544,yuma st & tenley circle nw,1/14/2016 17:39
